QStateAction{x=4, y=3, action=2, gems=[true, true, true, true, true, true, true, true, true]} = -0.8
QStateAction{x=2, y=0, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -5.8
QStateAction{x=3, y=1, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -7.7088203
QStateAction{x=1, y=4, action=1, gems=[false, true, false, false, false, true, true, false, true]} = -2.4
QStateAction{x=2, y=1, action=3, gems=[false, false, false, false, false, false, false, false, true]} = -5.9755
QStateAction{x=0, y=3, action=2, gems=[false, true, false, false, false, true, true, false, true]} = -2.0
QStateAction{x=4, y=2, action=3, gems=[false, true, false, false, false, false, true, false, false]} = -2.4
QStateAction{x=3, y=0, action=0, gems=[false, false, true, false, false, true, false, false, true]} = -4.0
QStateAction{x=2, y=0, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=2, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=3, action=3, gems=[false, false, true, false, false, true, true, false, true]} = -2.947
QStateAction{x=0, y=3, action=1, gems=[false, false, false, false, false, false, true, false, false]} = -4.0
QStateAction{x=3, y=1, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=4, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=4, action=3, gems=[false, false, false, false, false, false, true, false, false]} = -4.128
QStateAction{x=2, y=1, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=1, action=3, gems=[false, true, true, false, false, true, true, false, true]} = -1.5323085
QStateAction{x=2, y=0, action=1, gems=[false, true, false, false, false, true, false, false, false]} = -4.5
QStateAction{x=3, y=2, action=2, gems=[false, true, false, false, false, true, false, false, false]} = -4.8
QStateAction{x=1, y=4, action=0, gems=[false, true, false, false, false, true, true, false, true]} = -2.2
QStateAction{x=2, y=0, action=1, gems=[true, true, true, true, true, true, true, true, true]} = -0.4
QStateAction{x=3, y=1, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -2.1785724
QStateAction{x=4, y=2, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -4.828
QStateAction{x=4, y=2, action=4, gems=[false, true, false, false, false, false, true, false, false]} = -5.4
QStateAction{x=2, y=1, action=0, gems=[false, false, true, false, false, true, true, true, true]} = -3.8
QStateAction{x=4, y=1, action=2, gems=[false, true, false, false, false, false, true, false, false]} = -2.509
QStateAction{x=3, y=1, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=2, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=2, action=2, gems=[false, false, true, false, false, true, true, false, true]} = -3.079965
QStateAction{x=3, y=1, action=3, gems=[false, false, true, false, false, true, false, false, true]} = -3.5
QStateAction{x=4, y=3, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=3, action=2, gems=[false, false, false, false, false, false, true, false, false]} = -3.8
QStateAction{x=2, y=0, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=2, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=0, action=4, gems=[false, false, true, false, false, true, false, false, true]} = -4.1
QStateAction{x=4, y=0, action=2, gems=[false, true, true, false, false, true, true, false, true]} = -1.7
